Emoticons,Directions
(～o￣3￣)～,飘
▄︻┻┳═一…… ☆（>○<）,爆头
o(≧口≦)o,崩溃
(⊙x⊙;),闭嘴
￣へ￣,不开心
（＃￣～￣＃）,不满
(*￣︿￣),不满
(* ￣︿￣),不爽
ヽ（≧□≦）ノ,不要啊
凸(艹皿艹 ),擦
<)。(>,叉腰
___*( ￣皿￣)/#____,冲出
(￣ε(#￣)☆╰╮o(￣皿￣///),抽
抽!!(￣ε(#￣)☆╰╮(￣▽￣///),抽你
<( ￣^￣)(θ(θ☆( >_<,踹
→)╥﹏╥),抽脸
(ﾟДﾟ*)ﾉ,反对
○|￣|_ =3,放屁
┻━┻︵╰(‵□′)╯︵┻━┻,翻桌
(；′⌒`),哼哼
o(￣ヘ￣o＃),哼哼
(o ￣3)==@))゜ロ゜((@==(′ε′ )o　,夹击
<(￣ ﹌ ￣)@m 就你！,就你
(〃＞目＜),可恶
（＝。＝）,可恶
(///￣皿￣)○～,哪里跑
<( ‵□′)>───Ｃε(┬﹏┬)3,捏耳朵
ε=怒ε=怒ε=怒ε=怒ε=( o｀ω′)ノ,怒
▄︻┻┳═一……,枪
~~( ﹁ ﹁ ) ~~~,切
φ(-ω-*),去
(ーー゛),去
(╬￣皿￣)＝○＃(￣＃)３￣),拳
(-__-)=@))> o<),去死
(。・・)ノ,弱
"▄︻┻┳═一∵∴∷∶∵ (∵_,∵)>>>>",散弹
（｀へ´）,生气
(ー`´ー),生气
<(－︿－)>,生气
( ｀д′),什么东西
z(-_-z)).....((s-_-)s,射拳
(σ｀д′)σ,是不是你
～（□`）～,逃跑
＼(゜ロ＼)(／ロ゜)／,讨厌
ヽ(ヽ `д′)ヽ`д′)ヽ`д′)┌┛┌┛┌┛★)`з゜)y,踢
( >ρ < ”),吐
ヽ(゜▽゜　)－C<(/;◇;)/~,拖走
(#`O′),喂
o(￣ヘ￣o＃),我去
o(一︿一+)o,怨念
(╯‵□′)╯炸弹！•••*～●,炸弹
ˋ( ° ▽、° ) (o(￣▽￣///(斩!!),斩
W(￣_￣)W,抓
(╬▔皿▔),怒
（╯‵□′）╯︵┴─┴ ,掀桌子
┴─┴︵╰（‵□′╰）,掀桌子
（︶^︶）=凸,比中指
（╯－_－）╯╧╧,翻桌子
┴┴︵╰（‵□′）╯︵┴┴,拆房子
(╬￣皿￣)凸,鄙视你
<（‵□′）>───Cε（┬_┬）3,拧耳朵
(o_ _)ﾉ,败了
"ㄟ( ▔, ▔ )ㄏ",不是我
(⊙﹏⊙),呃呃呃
-________-'',呃呃呃
╮（╯＿╰）╭,没办法
.....((/- -)/,飘过
(ˉ▽￣～) 切~~,切
┑(￣Д ￣)┍,摊手
╮(╯▽╰)╭,无奈
((*・∀・）ゞ→→,这
( ＿ ＿)ノ｜,扶墙
╮（﹀_﹀）╭,没辙
(＠_＠;),不懂
◐▽◑,不知道
┌|*´∀｀|┘,愁
(・-・*),大概
━┳━　━┳━,呆
Σ(っ °Д °;)っ,倒
分＞(￣▽￣ = ￣︿￣)<裂,分裂
(☆´益`)c,扶额
..( ＿ ＿)ノ｜壁,扶墙
o(′益`)o,纠结
( -'`-; ),困恼
(°ー°〃),愣住
"~%?…,# *'☆&℃$︿★?",乱码
(*￣rǒ￣),挖鼻屎
(-@y@),眼睛
(((φ(◎ロ◎;)φ))),晕
(=′ー`),这样么
o(￣┰￣*)ゞ,不好意思
（。・＿・。）ﾉ,对不起
（＞人＜；）,对不起
( ￣ ￣)σ…( ＿ ＿)ノ｜壁,反省
( ￣ ￣)σ…( ＿ ＿)ノ｜壁,面壁
┗( T﹏T )┛,投降
(。﹏。*),我错了
…〒_〒…‵ｏ′-一┳═┻︻▄,自杀
〈（_　_）〉,道歉、鞠躬
Orz,败给你了【我(O)认(R)栽(Z)】
囧rz,囧认栽
（ﾉ´д｀）,囧
U•ェ•*U,狗狗
（￣。。￣）,河马
(°°)～　(°°)～　(°°)～,蝌蚪
m( =∩王∩= )m,老虎
o(=•ェ•=)m,猫
ヽ(=^･ω･^=)丿,高兴猫
~o( =∩ω∩= )m,喵
≡ω≡,喵呜
o( =•ω•= )m,喵星人
--(˙<>˙)/--,鸟
( ఠൠఠ )ﾉ,牛
_(:驴」∠)_,躺枪驴
_(:马」∠)_,躺枪马
(+(工)+╬),熊
(*￣(エ)￣),熊
(￣(●●)￣),猪
(:◎)≡,章鱼
(..)nnn,毛毛虫
≡[。。]≡,螃蟹
<□:≡,乌贼
<。)#)))≦,烤鱼
(/▽＼),不看
(。﹏。),低头
(✿◡‿◡),害羞
(′▽`〃),害羞
○( ＾皿＾)っHiahiahia…,hiahia
(*/ω＼*),脸红
o(*////▽////*)q,shy
(*/ω＼*),捂脸
つ﹏⊂,捂脸
◕ฺ‿◕ฺ✿ฺ),羞
(*/ω＼*),掩面
(#／。＼#),掩面
(￣ ‘i ￣;),鼻涕
(ノへ￣、),擦眼泪
||Φ|(|T|Д|T|)|Φ||,放我出去
(;´༎ຶД༎ຶ`) ,哭死
ε(┬┬﹏┬┬)3,苦命
〒▽〒,内牛满面
(ノへ￣、),tat
o(TヘTo),tat
╥﹏╥...,委屈
┭┮﹏┭┮,呜呜呜
(个_个),哭
o(╥﹏╥)o,痛哭
(* ￣3)(ε￣ *),啵啵
(*￣3￣)╭,飞吻
(ToT)/~~~,挥手帕
!(*￣(￣　*) ,kiss
(*╯3╰),mua
（づ￣3￣）づ╭❤～,mua
o(*￣3￣)o,亲亲
(っ´Ι`)っ,亲亲你
(*￣;(￣ *),吻别
（*＾3＾）/～☆,脸红亲亲
（＠ーεー＠）,么么哒
～(^з^)-☆,亲嘴
(+.+)(-.-)(_ _) ..zzZZ もうだめ,不行了
(_ _)( - . - )(~O~) ……( - . - ),打哈欠
(￣o￣) . z Z,困了
(p.-)(p.-)(p.-),困死了
(o-ωｑ)).oO 困,困死了
(つω｀)～,眠
☆{{{Д}}} ☆!! [铃铃铃],闹钟
※=○☆(＿＿*)Ｚｚｚ,起床
お(ノ￣0￣)ノや（o￣ ・￣）oす(。＿　＿)。みZZzzzz…,晚安
￣O￣)ノ,晚上好
(∪｡∪)｡｡｡zzz,打呼噜
（)´д`(）,瞌睡
ヾ(￣▽￣)Bye~Bye~,拜
(ㄏ￣▽￣)ㄏbyeㄟ(￣▽￣ㄟ),拜
₍₍ ◝(　ﾟ∀ ﾟ )◟⁾⁾不送,不送
( ´･･)ﾉ(._.`),分手
『家』 ～o(▽｀ o) =3 =3 =3,回家
＼（＾∀＾）メ（＾∀＾）ノ,回见
(ToT)/~~~,挥手帕
（＾∀＾●）ﾉｼ,明天见
(*￣▽￣)(￣▽:;.…::;.:.:::;..::;.:...,闪人
(。・_・)/~~~,再见
┏(＾0＾)┛,再见
( ﾟдﾟ)つBye,走啦
ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】)),做梦
(o´ω`o)ﾉ,拜托啦
（ ゜ρ゜)ノ,保重
\(@^０^@)/★,走前拥抱
"(￣_,￣ )",不屑
(o≖◡≖),臭美
(๐॔˃̶ᗜ˂̶๐॓),蠢哭
ʅ（´◔౪◔）ʃ,嘚瑟
(‾◡◝),骄傲
( ͡° ͜ʖ ͡°),矜持
（ ￣ー￣）,冷笑
┌( ´_ゝ` )┐,冷艳
"(￣_,￣ )",蔑视
(ˉ▽￣～) 切~~,切
(´ｰ∀ｰ`),轻蔑
(☆-ｖ-),无视
(－∀＝),无言
( ﹁ ﹁ ) ~→,斜眼
<(￣ ﹌ ￣)@m,指
(◡ᴗ◡✿),自恋
*(੭*ˊᵕˋ)੭*ଘ,自拍
ψ(｀∇´)ψ,吃点
(((((ヾ(　o=^•ェ•)o　┏━┓,吃饭
(*￣ω￣),吃了
(╯▽╰ )好香~~,好香
(￣～￣) 嚼！,嚼
Ψ(￣∀￣)Ψ,美味
0＾）吞！,吞
( *^-^)ρ(^0^* ),喂饭
( *⊙~⊙),噎死
[噎住] ( *⊙~⊙),噎住
<)。(>,叉腰
━━(￣ー￣*|||━━,淡定
<(ˉ^ˉ)>,当然
～(￣▽￣～)(～￣▽￣)～,得瑟
<(￣ˇ￣)/,得意
（￣ー￣（＿ ＿（￣ー￣（＿ ＿,点头
（￣ー￣）ノ~~マ☆’.・.・:★,嗯哼
( σ'ω')σ,告状
(＠￣ー￣＠),哼哼
┗|*｀0′*|┛,肌肉
o(*^▽^*)┛,举手
(oﾟvﾟ)ノ,明白
✧(≖ ◡ ≖✿),闪
|(•_•) |•_•) |_•) |•) | ),我闪
(ﾟｰﾟ),是啊
ヾ(＠⌒ー⌒＠)ノ,是啊是啊
´･∀･)乂(･∀･｀,死吧
( *︾▽︾),陶醉
(。・∀・)ノ,同意
↑↑↓↓←→←→ＢＡ...┗( -o-)┛,无敌
(*ﾟｰﾟ),嘴角
<(￣︶￣)>,满意
o((⊙﹏⊙))o.,抖
┏┛墓┗┓...(((m -__-)m,鬼
┌(。Д。)┐,恐怖
┐(T.T ) ( T.T) ノ,没人
━((*′д｀)爻(′д｀*))━!!!!,怕怕
ヽ(*。>Д<)o゜,太可怕了
ヽ(￣︿￣　)—C<(/;◇;)/,小黑屋
||o(*°▽°*)o|Ю [有人吗?],有人吗
……]((o_ _)'彡☆,跌倒
|(*′口`),汗死
Σ( ° △ °|||)︴,汗死
(lll￢ω￢),汗死
_〆(´Д｀ ),画圈
○|￣|_,orz
ε=ε=ε=(~￣▽￣)~,跑
━━∑(￣□￣*|||━━,石化
…（⊙＿⊙；）…,逃
ε=ε=ε=┏(゜ロ゜;)┛,逃
(*￣rǒ￣),挖鼻屎
d=====(￣▽￣*)b,顶
＜（＾－＾）＞,对
[]~(￣▽￣)~*,干杯
(*￣▽)u┌┐ ｄ(▽￣*),高
o(￣▽￣)ｄ,good
(o゜▽゜)o☆,好主意
(ง •_•)ง,加油
ヾ(●゜ⅴ゜)ﾉ,就是
（。＾▽＾）,厉害
ㄟ(≧◇≦)ㄏ,太棒了
ヽ(￣ω￣(￣ω￣〃)ゝ,义气
（；´д｀）ゞ,悲
(＞﹏＜),悲剧
_____λ......___丬 别走啊～～,别走
(*￣︿￣),瘪嘴
( *^-^)ρ(*╯^╰),不吃
(ノへ￣、),擦眼泪
(ノへ￣、),抽泣
(┬＿┬)↘,跌
(#｀-_ゝ-),低落
(。﹏。),低头
（。－_－。）,呼
( -'`-; ),困恼
(ρ_・).。,累
(；′⌒`),伤心
(。_。),失落
(′д｀ )…彡…彡,衰
( ′ 3`) sigh~,sigh
╥﹏╥...,委屈
┭┮﹏┭┮,呜呜呜
[喝西北风](　′Д`)彡,西北方
X﹏X,糟糕
"(￣_,￣ )",不屑
○|￣|_ =3,放屁
(￫ܫ￩),鬼脸
(❤´艸｀❤),花痴
（〃｀ 3′〃）,撅嘴
ᕕ( ᐛ )ᕗ,赖
=└(┐卍^o^)卍,闪
ԅ(¯﹃¯ԅ),使坏
(*￣rǒ￣),挖鼻屎
(☄⊙ω⊙)☄,吓
( ‵▽′)ψ,邪恶
ლ(•̀ _ •́ ლ),阿信
(눈_눈),兵长
( *・ω・)✄╰ひ╯,剪jj
咳咳＞＜,咳咳
（。人。）,柳岩
(．． )…,那个
( ˘•ω•˘ )ง⁽˙³˙⁾,姚明与郭敬明
（¯﹃¯）,口水
（￣︶￣）↗,出发
（￣▽￣）～■□～（￣▽￣）,干杯
b（￣▽￣）d,竖起双手拇指说好
（～￣▽￣～） ,装傻
（￣ c￣）y-～,抽烟
"\(""▔□▔)/\(""▔□▔)/\(""▔□▔)/",大冷场
(✧◡✧),星星眼
